"","State.diff","State.lwr","State.upr","State.p.adj"
"NM-CT",-1.55465160637797,-2.41242538968129,-0.69687782307466,6.16206086156978e-10
"NV-CT",-2.55224660397319,-3.34782471946285,-1.75666848848352,0
"NY-CT",0.225470009417933,-0.340261291239105,0.79120131007497,0.99999777018336
"OH-CT",-3.53430528603421,-4.12604711553927,-2.94256345652915,0
"OK-CT",-4.23107185615956,-4.9301875656334,-3.53195614668571,0
"OR-CT",-1.01350676396116,-1.75200129138997,-0.27501223653235,5.16619956415498e-05
"PA-CT",-2.04058785966822,-2.62616425177062,-1.45501146756582,0
"RI-CT",-1.01613699599002,-2.12403506813226,0.0917610761522163,0.146718888120886
"SC-CT",-3.53814355647287,-4.23315514809954,-2.84313196484621,0
"SD-CT",-0.313845044520747,-1.45223688322022,0.824546794178731,0.999999999994181
"TN-CT",-4.57107940934534,-5.22770782725038,-3.91445099144031,0
"TX-CT",-2.23742099244002,-2.80172092660853,-1.67312105827152,0
"UT-CT",-0.734986942684401,-1.55467589824949,0.0847020128806912,0.185325341221609
"VA-CT",-1.77472619605793,-2.40813298373072,-1.14131940838513,1.41442413337245e-13
"VT-CT",0.920880861153435,-0.301686537944984,2.14344826025185,0.619969553693847
"WA-CT",-0.426003393278137,-1.08104790441702,0.229041117860743,0.906687403184692
"WV-CT",-4.41039842914995,-5.26527939353784,-3.55551746476206,0
"WY-CT",0.0596120960206576,-1.38426581476926,1.50349000681057,1
"DE-DC",1.3860606060635,-0.155173840250472,2.92729505237746,0.179951393131379
"FL-DC",1.96700159490089,0.804030168439414,3.12997302136237,1.90007590772368e-08
"GA-DC",0.206946465787581,-0.983089497886953,1.39698242946212,1
"HI-DC",4.90701482914811,3.47391251639328,6.34011714190294,0
"IA-DC",2.65590567328097,1.40547480164363,3.90633654491831,5.02820007852733e-13
"ID-DC",2.67778554778891,1.24838730510203,4.1071837904758,1.00757069354529e-10
"IL-DC",1.75758883802443,0.587582736270925,2.92759493977794,2.52947575762885e-06
"IN-DC",0.357609777611586,-0.843984485375212,1.55920404059838,0.999999999892474
"KS-DC",1.6430202439366,0.381525853343868,2.90451463452934,0.000232546174236403
"KY-DC",-0.843476874006143,-2.06832581038579,0.381372062373503,0.822585768081205
"LA-DC",-1.03520381185147,-2.26021287664706,0.189805252944114,0.3128699983276
"MA-DC",3.93236687687073,2.72814738297057,5.13658637077089,0
"MD-DC",2.29150677280057,1.08325468494322,3.49975886065793,4.99293939526524e-11
"MI-DC",0.932128958056921,-0.24195512447878,2.10621304059262,0.4769833310269
"MN-DC",4.06103272347718,2.85145112556443,5.27061432138994,0
"MO-DC",0.549177357799948,-0.658249577436868,1.75660429303676,0.999907647417912
"MS-DC",-1.38093742495766,-2.65940537075371,-0.102469479161615,0.0147266789878342
"MT-DC",2.41094474153731,0.950105103277815,3.8717843797968,5.75495536780934e-08
"NC-DC",0.989026336429475,-0.195938059514875,2.17399073237383,0.343690681170007
"ND-DC",2.98904428904829,1.44243029951499,4.5356582785816,1.65691904641108e-11
"NE-DC",2.61902884264718,1.30564979927253,3.93240788602183,3.00370839312336e-12
"NH-DC",3.54814958091954,2.11504726816472,4.98125189367437,4.65516514225328e-13
"NJ-DC",3.18276603242222,1.99589216055634,4.36963990428811,4.79505324335605e-13
"NM-DC",2.13887445887941,0.812821795654325,3.4649271221045,1.54675372288082e-07
"NV-DC",1.1412794612842,-0.14541566195594,2.42797458452434,0.205916044305391
"NY-DC",3.91899607467532,2.76025032738346,5.07774182196718,0
"OH-DC",0.159220779223176,-1.01244393182255,1.3308854902689,1
"OK-DC",-0.537545790902172,-1.76693693189717,0.691845350092829,0.9999677681373
"OR-DC",2.68001930129623,1.42781565597085,3.93222294662161,4.72955008490317e-13
"PA-DC",1.65293820558917,0.484375193462076,2.82150121771626,2.0035638634508e-05
"RI-DC",2.67738906926736,1.17736308929889,4.17741504923583,1.37109834597027e-09
"SC-DC",0.155382508784513,-1.07167939463328,1.38244441220231,1
"SD-DC",3.37968102073664,1.85699399421364,4.90236804725964,3.63487018262276e-13
"TN-DC",-0.877553344087957,-2.08328991628121,0.328183228105297,0.706319266590344
"TX-DC",1.45610507281737,0.298057483973777,2.61415266166095,0.000584375949946314
"UT-DC",2.95853912257299,1.65679806299191,4.26028018215406,6.48814335590941e-13
"VA-DC",1.91879986919946,0.725550540268647,3.11204919813027,1.75843111738239e-07
"VT-DC",4.61440692641082,3.02780336922896,6.20101048359269,0
"WA-DC",3.26752267197925,2.06264794243387,4.47239740152463,4.51860771022439e-13
"WV-DC",-0.716872363892563,-2.04105560861235,0.607310880827228,0.995024173456353
"WY-DC",3.75313816127805,1.99034968174032,5.51592664081577,4.95492535890207e-13
"FL-DE",0.580940988837398,-0.485153169886594,1.64703514756139,0.99434719732566
"GA-DE",-1.17911414027591,-2.27466870821781,-0.0835595723340201,0.0156821597359152
"HI-DE",3.52095422308462,2.16528595417706,4.87662249199217,4.58633131472652e-13
"IA-DE",1.26984506721747,0.108969715922909,2.43072041851204,0.0117570528618822
